feature	chromosome	start	end	SLX-17922.D708tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D709tp_D507tp.HC22VBBXY.s_3.r_1
1:205500001-206000000	1	205500001	206000000	1.055	1.169	1.12	1.06
1:206500001-207000000	1	206500001	207000000	1.059	0.927	0.955	1.01
1:207000001-207500000	1	207000001	207500000	1.026	1.03	0.953	0.96
1:207500001-208000000	1	207500001	208000000	0.975	0.98	0.912	1.006
1:208000001-208500000	1	208000001	208500000	0.97	0.909	1.044	0.998
1:208500001-209000000	1	208500001	209000000	1.004	0.995	1.046	1.14
1:209000001-209500000	1	209000001	209500000	1.007	0.999	1.057	1.047
1:209500001-210000000	1	209500001	210000000	0.911	1.002	1.094	1.022
1:210000001-210500000	1	210000001	210500000	1.067	1.075	1.055	0.948
1:210500001-211000000	1	210500001	211000000	1.02	1.09	1.001	1.016
1:211000001-211500000	1	211000001	211500000	1.004	0.943	1.01	1.076
1:211500001-212000000	1	211500001	212000000	0.983	0.983	0.92	0.938
1:212000001-212500000	1	212000001	212500000	0.985	0.924	0.939	0.978
1:212500001-213000000	1	212500001	213000000	0.988	1.082	0.985	0.926
1:213000001-213500000	1	213000001	213500000	1.016	1.083	0.989	1.043
1:213500001-214000000	1	213500001	214000000	1.005	1.01	1.106	1.141
1:214000001-214500000	1	214000001	214500000	0.891	1.04	0.936	0.981
1:216000001-216500000	1	216000001	216500000	1.101	1.049	0.947	0.964
1:216500001-217000000	1	216500001	217000000	1.002	0.981	1.067	0.965
1:217000001-217500000	1	217000001	217500000	0.972	0.893	1.009	0.952
1:217500001-218000000	1	217500001	218000000	0.93	0.944	0.954	0.922
1:218000001-218500000	1	218000001	218500000	1.057	1.005	1.014	1.021
1:218500001-219000000	1	218500001	219000000	1.006	1.015	0.946	1.046
1:219000001-219500000	1	219000001	219500000	0.956	1.042	0.95	0.912
1:219500001-220000000	1	219500001	220000000	1.047	0.965	1.012	0.945
1:220000001-220500000	1	220000001	220500000	0.951	0.986	1.097	1.098
1:220500001-221000000	1	220500001	221000000	0.96	0.986	1.025	1
1:221000001-221500000	1	221000001	221500000	0.984	1.044	1.068	1.058
1:221500001-222000000	1	221500001	222000000	0.979	1.015	0.994	1.13
1:222000001-222500000	1	222000001	222500000	1.025	1.122	1.065	0.989
1:222500001-223000000	1	222500001	223000000	1.012	1.032	1.065	0.908
1:223000001-223500000	1	223000001	223500000	1.09	1.016	1.045	1.121
1:224000001-224500000	1	224000001	224500000	1.004	1.058	0.948	0.937
1:224500001-225000000	1	224500001	225000000	0.956	1.081	0.982	1.024
1:225000001-225500000	1	225000001	225500000	0.977	0.941	0.897	1.062
1:225500001-226000000	1	225500001	226000000	1	1.048	1.036	1.028
1:226000001-226500000	1	226000001	226500000	0.907	0.868	0.968	1.034
1:227000001-227500000	1	227000001	227500000	0.959	0.953	0.903	0.979
1:228000001-228500000	1	228000001	228500000	0.979	0.904	1.045	0.883
1:228500001-229000000	1	228500001	229000000	1.067	1.057	1.044	1.179
1:229500001-230000000	1	229500001	230000000	1.018	0.989	1.133	1.073
1:230000001-230500000	1	230000001	230500000	0.887	0.964	0.962	1.03
1:230500001-231000000	1	230500001	231000000	0.994	1.014	0.977	0.959
1:231000001-231500000	1	231000001	231500000	0.98	0.98	0.954	0.906
1:231500001-232000000	1	231500001	232000000	1.052	0.961	1.066	0.979
1:232000001-232500000	1	232000001	232500000	1.007	1.048	1.021	0.955
